CP,CITY,BRUTA,NETA
8450,Llinás,28103,21226
33011,Oviedo,28149,21257
46015,Valencia,28181,21279
8140,Caldas de Montbui,28193,21288
8259,Fonollosa,28196,21290
8810,San Pedro de Ribas,28204,21295
8812,Les Roquetes,28204,21295
7141,Marratxi,28220,21306
8028,Les Corts,28237,21318
43850,Cambrils,28246,21324
8211,Castellar del Valles,28352,21397
8221,Castellar del Valles,28353,21398
8770,San Sadurní de Noya,28407,21435
8184,Palaude Plegamans,28494,21495
17242,Quart,28520,21513
8757,Gelida,28576,21552
8790,Gelida,28576,21552
43791,Ascó,28637,21594
17180,Vilablareix,28665,21613
8504,San Sadurnó de Osormort,28734,21661
17406,Viladrau,28734,21661
8251,Castellnou de Bages,28877,21760
8260,Castellnou de Bages,28878,21760
8980,San Feliu de Llobregat,28955,21813
31180,Zizur Mayor,29134,21937
31190,Astráin,29134,21937
31200,Estella,29134,21937
31395,Garínoain,29134,21937
31400,Sangüesa,29134,21937
7194,Puigpunyent,29139,21940
8430,La Roca del Vallés,29197,21980
8415,Bigas,29206,21987
43001,Tarragona,29325,22069
43002,Tarragona,29326,22069
43003,Tarragona,29327,22070
43004,Tarragona,29328,22071
43005,Tarragona,29329,22072
43006,Tarragona,29330,22072
43007,Tarragona,29331,22073
43008,Tarragona,29332,22074
8105,San Fausto de Campcentellas,29509,22196
8310,Argentona,29749,22361
8440,Cardedeu,29910,22472
43890,Hospital de infante,29910,22472
8193,Cerdanyola,29975,22517
8290,Cerdanyola,29976,22518
8758,Cervelló,29991,22528
8780,Pallejá,30017,22546
43750,Flix,30212,22681
8459,San Antonia de Vilamajor,30251,22708
17007,Hermanos Sabat,30371,22790
8818,Olivella,30516,22891
8750,Molins de Rei,30524,22896
8530,La Garriga,30600,22949
17001,Girona,30731,23039
17002,Girona,30731,23039
17003,Girona,30731,23039
17004,La Font de La polvora,30731,23039
17005,Girona,30731,23039
25241,Golmés,30731,23039
8769,Castellvi de Rosanes,30742,23046
8461,San Esteban de Palautordera,30797,23084
43151,Els Pallaresos,30812,23095
8629,Torellas de Llobregatç,30833,23109
8756,La Palma de Cervelló,30900,23156
8300,Villadecavalls,31024,23241
8850,Gavá,31031,23246
7110,Bunyola,31056,23263
12310,Forcall,31139,23320
17111,Vullpellac,31139,23320
8635,S.Esteban de Sasroviras,31334,23455
8690,Santa Coloma de Cervelló,31961,23888
8395,San Pol de Mar,31981,23901
8970,San Juan Despí,32067,23961
8503,San Bartomé del Grauç,32254,24090
43893,Altafulla,32686,24388
8320,El Masnou,33296,24809
8340,Vilasar de Mar,33914,25235
8950,Esplugas de Llobregat,33960,25267
35017,Sta Brígida,34449,25604
8293,Collbató,34487,25631
8339,Vilasar de Dalt,34589,25701
17458,Fornells de La Selva,34718,25790
8338,Premià de Dalt,36424,26719
28001,Madrid,36442,26730
28038,Madrid,36442,26730
8107,Martorellas,37549,27405
15172,Oleiros,37584,27427
8859,Begas,37622,27450
8860,Castelldefels,37708,27502
8006,Sant Gervasi,37852,27590
8017,Vallvidriera,37852,27590
8021,Sant Gervasi,37852,27590
8022,Tibidabo,37852,27590
8034,Pedralbes/Sarria,37852,27590
7190,Valldemossa,38630,28065
8030,Sant Andreu,39320,28486
8392,San Andrés de Llavaneras,39320,28486
8349,Cabrera de Mar,39891,28834
8390,Tiana,40296,29081
8915,Pomar,40296,29081
8391,Tiana,40297,29082
8916,Tiana,40298,29082
8192,San quirico del Valles,40327,29100
8188,Vallromanes,40486,29197
8329,Teyá,40604,29269
8870,Sitges,40902,29451
8871,Sitges,40903,29451
8328,Alella,44892,31885
8348,Cabrils,45221,32085
8394,San Vicente De Monalt,46019,32572
8172,Sant Cugat,48942,34355
8198,La floresta,48942,34355
8173,Sant Cugat,48943,34356
8174,Sant Cugat,48944,34356
8195,Sant Cugat,48945,34357
8196,Sant Cugat,48946,34358
8197,Sant Cugat,48947,34358
8798,Sant Cugat Sasgarrigas,48948,34359
8960,San Justo Desvern,50239,35146
8230,Matadepera,51058,35646
8272,San Fructuoso de Bages,67806,45238
25282,San Lorenzo de Morunys,??,
